# Assembly name:  AgR_To_v5
# Organism name:  Trifolium repens (white clover)
# Infraspecific name:  cultivar=cv 'Crau'-derivative
# Taxid:          3899
# BioSample:      SAMN11016253
# BioProject:     PRJNA523044
# Submitter:      AgResearch Ltd
# Date:           2019-11-22
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    VCDJ01
# Assembly method: AllPaths v. DEC-2013
# Expected final version: no
# Genome coverage: 100.0x
# Sequencing technology: Illumina HiSeq
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_005869975.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_005871075.1		Primary Assembly
## GCA_005871225.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_9888	unplaced-scaffold	na	na	VCDJ01009845.1	<>	na	Primary Assembly	905	na
scaffold_9889	unplaced-scaffold	na	na	VCDJ01009846.1	<>	na	Primary Assembly	984	na
scaffold_9890	unplaced-scaffold	na	na	VCDJ01009847.1	<>	na	Primary Assembly	805	na
scaffold_9891	unplaced-scaffold	na	na	VCDJ01009848.1	<>	na	Primary Assembly	722	na
scaffold_9892	unplaced-scaffold	na	na	VCDJ01009849.1	<>	na	Primary Assembly	3180	na
scaffold_9893	unplaced-scaffold	na	na	VCDJ01009850.1	<>	na	Primary Assembly	241	na
scaffold_9894	unplaced-scaffold	na	na	VCDJ01009851.1	<>	na	Primary Assembly	241	na
scaffold_9895	unplaced-scaffold	na	na	VCDJ01009852.1	<>	na	Primary Assembly	257	na
scaffold_9896	unplaced-scaffold	na	na	VCDJ01009853.1	<>	na	Primary Assembly	3714	na
scaffold_9897	unplaced-scaffold	na	na	VCDJ01009854.1	<>	na	Primary Assembly	3362	na
scaffold_9898	unplaced-scaffold	na	na	VCDJ01009855.1	<>	na	Primary Assembly	18505	na
scaffold_9899	unplaced-scaffold	na	na	VCDJ01009856.1	<>	na	Primary Assembly	6662	na
scaffold_9900	unplaced-scaffold	na	na	VCDJ01009857.1	<>	na	Primary Assembly	2386	na
scaffold_9901	unplaced-scaffold	na	na	VCDJ01009858.1	<>	na	Primary Assembly	4954	na
scaffold_9902	unplaced-scaffold	na	na	VCDJ01009859.1	<>	na	Primary Assembly	317	na
scaffold_9903	unplaced-scaffold	na	na	VCDJ01009860.1	<>	na	Primary Assembly	1662	na
scaffold_9904	unplaced-scaffold	na	na	VCDJ01009861.1	<>	na	Primary Assembly	2475	na
scaffold_9905	unplaced-scaffold	na	na	VCDJ01009862.1	<>	na	Primary Assembly	1536	na
scaffold_9906	unplaced-scaffold	na	na	VCDJ01009863.1	<>	na	Primary Assembly	1838	na
scaffold_9907	unplaced-scaffold	na	na	VCDJ01009864.1	<>	na	Primary Assembly	4197	na
scaffold_9908	unplaced-scaffold	na	na	VCDJ01009865.1	<>	na	Primary Assembly	8123	na
scaffold_9909	unplaced-scaffold	na	na	VCDJ01009866.1	<>	na	Primary Assembly	5403	na
scaffold_9910	unplaced-scaffold	na	na	VCDJ01009867.1	<>	na	Primary Assembly	3786	na
scaffold_9911	unplaced-scaffold	na	na	VCDJ01009868.1	<>	na	Primary Assembly	3731	na
scaffold_9912	unplaced-scaffold	na	na	VCDJ01009869.1	<>	na	Primary Assembly	1653	na
scaffold_9913	unplaced-scaffold	na	na	VCDJ01009870.1	<>	na	Primary Assembly	1551	na
scaffold_9914	unplaced-scaffold	na	na	VCDJ01009871.1	<>	na	Primary Assembly	2768	na
scaffold_9915	unplaced-scaffold	na	na	VCDJ01009872.1	<>	na	Primary Assembly	6827	na
scaffold_9916	unplaced-scaffold	na	na	VCDJ01009873.1	<>	na	Primary Assembly	7639	na
scaffold_9917	unplaced-scaffold	na	na	VCDJ01009874.1	<>	na	Primary Assembly	1299	na
scaffold_9918	unplaced-scaffold	na	na	VCDJ01009875.1	<>	na	Primary Assembly	3551	na
scaffold_9919	unplaced-scaffold	na	na	VCDJ01009876.1	<>	na	Primary Assembly	2410	na
scaffold_9920	unplaced-scaffold	na	na	VCDJ01009877.1	<>	na	Primary Assembly	367	na
scaffold_9921	unplaced-scaffold	na	na	VCDJ01009878.1	<>	na	Primary Assembly	417	na
scaffold_9922	unplaced-scaffold	na	na	VCDJ01009879.1	<>	na	Primary Assembly	1586	na
scaffold_9923	unplaced-scaffold	na	na	VCDJ01009880.1	<>	na	Primary Assembly	1443	na
scaffold_9924	unplaced-scaffold	na	na	VCDJ01009881.1	<>	na	Primary Assembly	3756	na
scaffold_9925	unplaced-scaffold	na	na	VCDJ01009882.1	<>	na	Primary Assembly	251	na
scaffold_9926	unplaced-scaffold	na	na	VCDJ01009883.1	<>	na	Primary Assembly	1590	na
scaffold_9927	unplaced-scaffold	na	na	VCDJ01009884.1	<>	na	Primary Assembly	3429	na
scaffold_9928	unplaced-scaffold	na	na	VCDJ01009885.1	<>	na	Primary Assembly	2038	na
scaffold_9929	unplaced-scaffold	na	na	VCDJ01009886.1	<>	na	Primary Assembly	6001	na
scaffold_9930	unplaced-scaffold	na	na	VCDJ01009887.1	<>	na	Primary Assembly	1575	na
scaffold_9931	unplaced-scaffold	na	na	VCDJ01009888.1	<>	na	Primary Assembly	1556	na
scaffold_9932	unplaced-scaffold	na	na	VCDJ01009889.1	<>	na	Primary Assembly	3263	na
scaffold_9933	unplaced-scaffold	na	na	VCDJ01009890.1	<>	na	Primary Assembly	682	na
scaffold_9934	unplaced-scaffold	na	na	VCDJ01009891.1	<>	na	Primary Assembly	2059	na
scaffold_9935	unplaced-scaffold	na	na	VCDJ01009892.1	<>	na	Primary Assembly	845	na
scaffold_9936	unplaced-scaffold	na	na	VCDJ01009893.1	<>	na	Primary Assembly	1770	na
scaffold_9937	unplaced-scaffold	na	na	VCDJ01009894.1	<>	na	Primary Assembly	6261	na
scaffold_9938	unplaced-scaffold	na	na	VCDJ01009895.1	<>	na	Primary Assembly	22551	na
scaffold_9939	unplaced-scaffold	na	na	VCDJ01009896.1	<>	na	Primary Assembly	4023	na
scaffold_9940	unplaced-scaffold	na	na	VCDJ01009897.1	<>	na	Primary Assembly	2565	na
scaffold_9941	unplaced-scaffold	na	na	VCDJ01009898.1	<>	na	Primary Assembly	5571	na
scaffold_9942	unplaced-scaffold	na	na	VCDJ01009899.1	<>	na	Primary Assembly	2533	na
scaffold_9943	unplaced-scaffold	na	na	VCDJ01009900.1	<>	na	Primary Assembly	309	na
scaffold_9944	unplaced-scaffold	na	na	VCDJ01009901.1	<>	na	Primary Assembly	3744	na
scaffold_9945	unplaced-scaffold	na	na	VCDJ01009902.1	<>	na	Primary Assembly	1268	na
scaffold_9946	unplaced-scaffold	na	na	VCDJ01009903.1	<>	na	Primary Assembly	1286	na
scaffold_9947	unplaced-scaffold	na	na	VCDJ01009904.1	<>	na	Primary Assembly	4700	na
scaffold_9948	unplaced-scaffold	na	na	VCDJ01009905.1	<>	na	Primary Assembly	1599	na
scaffold_9949	unplaced-scaffold	na	na	VCDJ01009906.1	<>	na	Primary Assembly	5079	na
scaffold_9950	unplaced-scaffold	na	na	VCDJ01009907.1	<>	na	Primary Assembly	3659	na
scaffold_9951	unplaced-scaffold	na	na	VCDJ01009908.1	<>	na	Primary Assembly	247	na
scaffold_9952	unplaced-scaffold	na	na	VCDJ01009909.1	<>	na	Primary Assembly	3000	na
scaffold_9953	unplaced-scaffold	na	na	VCDJ01009910.1	<>	na	Primary Assembly	1200	na
scaffold_9954	unplaced-scaffold	na	na	VCDJ01009911.1	<>	na	Primary Assembly	2764	na
scaffold_9955	unplaced-scaffold	na	na	VCDJ01009912.1	<>	na	Primary Assembly	11116	na
scaffold_9956	unplaced-scaffold	na	na	VCDJ01009913.1	<>	na	Primary Assembly	6789	na
scaffold_9957	unplaced-scaffold	na	na	VCDJ01009914.1	<>	na	Primary Assembly	1216	na
scaffold_9958	unplaced-scaffold	na	na	VCDJ01009915.1	<>	na	Primary Assembly	2423	na
scaffold_9959	unplaced-scaffold	na	na	VCDJ01009916.1	<>	na	Primary Assembly	1902	na
scaffold_9960	unplaced-scaffold	na	na	VCDJ01009917.1	<>	na	Primary Assembly	3717	na
scaffold_9961	unplaced-scaffold	na	na	VCDJ01009918.1	<>	na	Primary Assembly	1140	na
scaffold_9962	unplaced-scaffold	na	na	VCDJ01009919.1	<>	na	Primary Assembly	1468	na
scaffold_9963	unplaced-scaffold	na	na	VCDJ01009920.1	<>	na	Primary Assembly	4373	na
scaffold_9964	unplaced-scaffold	na	na	VCDJ01009921.1	<>	na	Primary Assembly	5387	na
scaffold_9965	unplaced-scaffold	na	na	VCDJ01009922.1	<>	na	Primary Assembly	6320	na
scaffold_9966	unplaced-scaffold	na	na	VCDJ01009923.1	<>	na	Primary Assembly	3065	na
scaffold_9967	unplaced-scaffold	na	na	VCDJ01009924.1	<>	na	Primary Assembly	391	na
scaffold_9968	unplaced-scaffold	na	na	VCDJ01009925.1	<>	na	Primary Assembly	4557	na
scaffold_9969	unplaced-scaffold	na	na	VCDJ01009926.1	<>	na	Primary Assembly	1789	na
scaffold_9970	unplaced-scaffold	na	na	VCDJ01009927.1	<>	na	Primary Assembly	1219	na
scaffold_9971	unplaced-scaffold	na	na	VCDJ01009928.1	<>	na	Primary Assembly	2442	na
scaffold_9972	unplaced-scaffold	na	na	VCDJ01009929.1	<>	na	Primary Assembly	1846	na
scaffold_9973	unplaced-scaffold	na	na	VCDJ01009930.1	<>	na	Primary Assembly	21495	na
scaffold_9974	unplaced-scaffold	na	na	VCDJ01009931.1	<>	na	Primary Assembly	1892	na
scaffold_9975	unplaced-scaffold	na	na	VCDJ01009932.1	<>	na	Primary Assembly	12128	na
scaffold_9976	unplaced-scaffold	na	na	VCDJ01009933.1	<>	na	Primary Assembly	2580	na
scaffold_9977	unplaced-scaffold	na	na	VCDJ01009934.1	<>	na	Primary Assembly	3552	na
scaffold_9978	unplaced-scaffold	na	na	VCDJ01009935.1	<>	na	Primary Assembly	611	na
scaffold_9979	unplaced-scaffold	na	na	VCDJ01009936.1	<>	na	Primary Assembly	1895	na
scaffold_9980	unplaced-scaffold	na	na	VCDJ01009937.1	<>	na	Primary Assembly	3618	na
scaffold_9981	unplaced-scaffold	na	na	VCDJ01009938.1	<>	na	Primary Assembly	530	na
scaffold_9982	unplaced-scaffold	na	na	VCDJ01009939.1	<>	na	Primary Assembly	2234	na
scaffold_9983	unplaced-scaffold	na	na	VCDJ01009940.1	<>	na	Primary Assembly	1219	na
scaffold_9984	unplaced-scaffold	na	na	VCDJ01009941.1	<>	na	Primary Assembly	4502	na
scaffold_9985	unplaced-scaffold	na	na	VCDJ01009942.1	<>	na	Primary Assembly	2800	na
scaffold_9986	unplaced-scaffold	na	na	VCDJ01009943.1	<>	na	Primary Assembly	10143	na
scaffold_9987	unplaced-scaffold	na	na	VCDJ01009944.1	<>	na	Primary Assembly	21091	na
scaffold_9988	unplaced-scaffold	na	na	VCDJ01009945.1	<>	na	Primary Assembly	11048	na
scaffold_9989	unplaced-scaffold	na	na	VCDJ01009946.1	<>	na	Primary Assembly	9902	na
scaffold_9990	unplaced-scaffold	na	na	VCDJ01009947.1	<>	na	Primary Assembly	587	na
scaffold_9991	unplaced-scaffold	na	na	VCDJ01009948.1	<>	na	Primary Assembly	8122	na
scaffold_9992	unplaced-scaffold	na	na	VCDJ01009949.1	<>	na	Primary Assembly	749	na
scaffold_9993	unplaced-scaffold	na	na	VCDJ01009950.1	<>	na	Primary Assembly	5048	na
scaffold_9994	unplaced-scaffold	na	na	VCDJ01009951.1	<>	na	Primary Assembly	2111	na
scaffold_9995	unplaced-scaffold	na	na	VCDJ01009952.1	<>	na	Primary Assembly	5154	na
scaffold_9996	unplaced-scaffold	na	na	VCDJ01009953.1	<>	na	Primary Assembly	2463	na
scaffold_9997	unplaced-scaffold	na	na	VCDJ01009954.1	<>	na	Primary Assembly	5944	na
scaffold_9998	unplaced-scaffold	na	na	VCDJ01009955.1	<>	na	Primary Assembly	6158	na
scaffold_9999	unplaced-scaffold	na	na	VCDJ01009956.1	<>	na	Primary Assembly	4289	na
scaffold_10000	unplaced-scaffold	na	na	VCDJ01009957.1	<>	na	Primary Assembly	2188	na
scaffold_10001	unplaced-scaffold	na	na	VCDJ01009958.1	<>	na	Primary Assembly	1035	na
scaffold_10002	unplaced-scaffold	na	na	VCDJ01009959.1	<>	na	Primary Assembly	2384	na
scaffold_10003	unplaced-scaffold	na	na	VCDJ01009960.1	<>	na	Primary Assembly	1955	na
scaffold_10004	unplaced-scaffold	na	na	VCDJ01009961.1	<>	na	Primary Assembly	229	na
scaffold_10005	unplaced-scaffold	na	na	VCDJ01009962.1	<>	na	Primary Assembly	4406	na
scaffold_10006	unplaced-scaffold	na	na	VCDJ01009963.1	<>	na	Primary Assembly	527	na
scaffold_10007	unplaced-scaffold	na	na	VCDJ01009964.1	<>	na	Primary Assembly	289	na
scaffold_10008	unplaced-scaffold	na	na	VCDJ01009965.1	<>	na	Primary Assembly	592	na
scaffold_10009	unplaced-scaffold	na	na	VCDJ01009966.1	<>	na	Primary Assembly	705	na
scaffold_10010	unplaced-scaffold	na	na	VCDJ01009967.1	<>	na	Primary Assembly	1428	na
scaffold_10011	unplaced-scaffold	na	na	VCDJ01009968.1	<>	na	Primary Assembly	2260	na
scaffold_10012	unplaced-scaffold	na	na	VCDJ01009969.1	<>	na	Primary Assembly	2601	na
scaffold_10013	unplaced-scaffold	na	na	VCDJ01009970.1	<>	na	Primary Assembly	7738	na
scaffold_10014	unplaced-scaffold	na	na	VCDJ01009971.1	<>	na	Primary Assembly	3965	na
scaffold_10015	unplaced-scaffold	na	na	VCDJ01009972.1	<>	na	Primary Assembly	282	na
scaffold_10016	unplaced-scaffold	na	na	VCDJ01009973.1	<>	na	Primary Assembly	436	na
scaffold_10017	unplaced-scaffold	na	na	VCDJ01009974.1	<>	na	Primary Assembly	510	na
scaffold_10018	unplaced-scaffold	na	na	VCDJ01009975.1	<>	na	Primary Assembly	1045	na
scaffold_10019	unplaced-scaffold	na	na	VCDJ01009976.1	<>	na	Primary Assembly	250	na
scaffold_10020	unplaced-scaffold	na	na	VCDJ01009977.1	<>	na	Primary Assembly	3948	na
scaffold_10021	unplaced-scaffold	na	na	VCDJ01009978.1	<>	na	Primary Assembly	2117	na
scaffold_10022	unplaced-scaffold	na	na	VCDJ01009979.1	<>	na	Primary Assembly	271	na
scaffold_10023	unplaced-scaffold	na	na	VCDJ01009980.1	<>	na	Primary Assembly	385	na
scaffold_10024	unplaced-scaffold	na	na	VCDJ01009981.1	<>	na	Primary Assembly	1567	na
scaffold_10025	unplaced-scaffold	na	na	VCDJ01009982.1	<>	na	Primary Assembly	221	na
scaffold_10026	unplaced-scaffold	na	na	VCDJ01009983.1	<>	na	Primary Assembly	273	na
scaffold_10027	unplaced-scaffold	na	na	VCDJ01009984.1	<>	na	Primary Assembly	7316	na
scaffold_10028	unplaced-scaffold	na	na	VCDJ01009985.1	<>	na	Primary Assembly	241	na
scaffold_10029	unplaced-scaffold	na	na	VCDJ01009986.1	<>	na	Primary Assembly	7567	na
scaffold_10030	unplaced-scaffold	na	na	VCDJ01009987.1	<>	na	Primary Assembly	5845	na
scaffold_10031	unplaced-scaffold	na	na	VCDJ01009988.1	<>	na	Primary Assembly	2611	na
scaffold_10032	unplaced-scaffold	na	na	VCDJ01009989.1	<>	na	Primary Assembly	8700	na
scaffold_10033	unplaced-scaffold	na	na	VCDJ01009990.1	<>	na	Primary Assembly	7861	na
scaffold_10034	unplaced-scaffold	na	na	VCDJ01009991.1	<>	na	Primary Assembly	3870	na
scaffold_10035	unplaced-scaffold	na	na	VCDJ01009992.1	<>	na	Primary Assembly	5812	na
scaffold_10036	unplaced-scaffold	na	na	VCDJ01009993.1	<>	na	Primary Assembly	2470	na
scaffold_10037	unplaced-scaffold	na	na	VCDJ01009994.1	<>	na	Primary Assembly	8013	na
scaffold_10038	unplaced-scaffold	na	na	VCDJ01009995.1	<>	na	Primary Assembly	8902	na
scaffold_10039	unplaced-scaffold	na	na	VCDJ01009996.1	<>	na	Primary Assembly	9209	na
scaffold_10040	unplaced-scaffold	na	na	VCDJ01009997.1	<>	na	Primary Assembly	7874	na
scaffold_10041	unplaced-scaffold	na	na	VCDJ01009998.1	<>	na	Primary Assembly	2132	na
scaffold_10042	unplaced-scaffold	na	na	VCDJ01009999.1	<>	na	Primary Assembly	16781	na
scaffold_10043	unplaced-scaffold	na	na	VCDJ01010000.1	<>	na	Primary Assembly	3399	na
scaffold_10044	unplaced-scaffold	na	na	VCDJ01010001.1	<>	na	Primary Assembly	6076	na
scaffold_10045	unplaced-scaffold	na	na	VCDJ01010002.1	<>	na	Primary Assembly	12202	na
scaffold_10046	unplaced-scaffold	na	na	VCDJ01010003.1	<>	na	Primary Assembly	1822	na
scaffold_10047	unplaced-scaffold	na	na	VCDJ01010004.1	<>	na	Primary Assembly	19912	na
scaffold_10048	unplaced-scaffold	na	na	VCDJ01010005.1	<>	na	Primary Assembly	1102	na
scaffold_10049	unplaced-scaffold	na	na	VCDJ01010006.1	<>	na	Primary Assembly	3884	na
scaffold_10050	unplaced-scaffold	na	na	VCDJ01010007.1	<>	na	Primary Assembly	3399	na
scaffold_10051	unplaced-scaffold	na	na	VCDJ01010008.1	<>	na	Primary Assembly	1464	na
scaffold_10052	unplaced-scaffold	na	na	VCDJ01010009.1	<>	na	Primary Assembly	542	na
scaffold_10053	unplaced-scaffold	na	na	VCDJ01010010.1	<>	na	Primary Assembly	9732	na
scaffold_10054	unplaced-scaffold	na	na	VCDJ01010011.1	<>	na	Primary Assembly	2306	na
scaffold_10055	unplaced-scaffold	na	na	VCDJ01010012.1	<>	na	Primary Assembly	1927	na
scaffold_10056	unplaced-scaffold	na	na	VCDJ01010013.1	<>	na	Primary Assembly	1440	na
scaffold_10057	unplaced-scaffold	na	na	VCDJ01010014.1	<>	na	Primary Assembly	6623	na
scaffold_10058	unplaced-scaffold	na	na	VCDJ01010015.1	<>	na	Primary Assembly	1071	na
scaffold_10059	unplaced-scaffold	na	na	VCDJ01010016.1	<>	na	Primary Assembly	631	na
scaffold_10060	unplaced-scaffold	na	na	VCDJ01010017.1	<>	na	Primary Assembly	200	na
scaffold_10061	unplaced-scaffold	na	na	VCDJ01010018.1	<>	na	Primary Assembly	5337	na
scaffold_10062	unplaced-scaffold	na	na	VCDJ01010019.1	<>	na	Primary Assembly	1318	na
scaffold_10063	unplaced-scaffold	na	na	VCDJ01010020.1	<>	na	Primary Assembly	6202	na
scaffold_10064	unplaced-scaffold	na	na	VCDJ01010021.1	<>	na	Primary Assembly	3149	na
scaffold_10065	unplaced-scaffold	na	na	VCDJ01010022.1	<>	na	Primary Assembly	3400	na
scaffold_10066	unplaced-scaffold	na	na	VCDJ01010023.1	<>	na	Primary Assembly	2934	na
scaffold_10067	unplaced-scaffold	na	na	VCDJ01010024.1	<>	na	Primary Assembly	2925	na
scaffold_10068	unplaced-scaffold	na	na	VCDJ01010025.1	<>	na	Primary Assembly	3788	na
scaffold_10069	unplaced-scaffold	na	na	VCDJ01010026.1	<>	na	Primary Assembly	5672	na
scaffold_10070	unplaced-scaffold	na	na	VCDJ01010027.1	<>	na	Primary Assembly	3742	na
scaffold_10071	unplaced-scaffold	na	na	VCDJ01010028.1	<>	na	Primary Assembly	2713	na
scaffold_10072	unplaced-scaffold	na	na	VCDJ01010029.1	<>	na	Primary Assembly	7419	na
scaffold_10073	unplaced-scaffold	na	na	VCDJ01010030.1	<>	na	Primary Assembly	7297	na
scaffold_10074	unplaced-scaffold	na	na	VCDJ01010031.1	<>	na	Primary Assembly	11829	na
scaffold_10075	unplaced-scaffold	na	na	VCDJ01010032.1	<>	na	Primary Assembly	714	na
scaffold_10076	unplaced-scaffold	na	na	VCDJ01010033.1	<>	na	Primary Assembly	308	na
scaffold_10077	unplaced-scaffold	na	na	VCDJ01010034.1	<>	na	Primary Assembly	688	na
scaffold_10078	unplaced-scaffold	na	na	VCDJ01010035.1	<>	na	Primary Assembly	1612	na
scaffold_10079	unplaced-scaffold	na	na	VCDJ01010036.1	<>	na	Primary Assembly	1023	na
scaffold_10080	unplaced-scaffold	na	na	VCDJ01010037.1	<>	na	Primary Assembly	252	na
scaffold_10081	unplaced-scaffold	na	na	VCDJ01010038.1	<>	na	Primary Assembly	4337	na
scaffold_10082	unplaced-scaffold	na	na	VCDJ01010039.1	<>	na	Primary Assembly	3468	na
scaffold_10083	unplaced-scaffold	na	na	VCDJ01010040.1	<>	na	Primary Assembly	810	na
scaffold_10084	unplaced-scaffold	na	na	VCDJ01010041.1	<>	na	Primary Assembly	605	na
scaffold_10085	unplaced-scaffold	na	na	VCDJ01010042.1	<>	na	Primary Assembly	8557	na
scaffold_10086	unplaced-scaffold	na	na	VCDJ01010043.1	<>	na	Primary Assembly	3251	na
scaffold_10087	unplaced-scaffold	na	na	VCDJ01010044.1	<>	na	Primary Assembly	672	na
scaffold_10088	unplaced-scaffold	na	na	VCDJ01010045.1	<>	na	Primary Assembly	2064	na
scaffold_10089	unplaced-scaffold	na	na	VCDJ01010046.1	<>	na	Primary Assembly	5439	na
scaffold_10090	unplaced-scaffold	na	na	VCDJ01010047.1	<>	na	Primary Assembly	10122	na
scaffold_10091	unplaced-scaffold	na	na	VCDJ01010048.1	<>	na	Primary Assembly	3003	na
scaffold_10092	unplaced-scaffold	na	na	VCDJ01010049.1	<>	na	Primary Assembly	10998	na
scaffold_10093	unplaced-scaffold	na	na	VCDJ01010050.1	<>	na	Primary Assembly	1963	na
scaffold_10094	unplaced-scaffold	na	na	VCDJ01010051.1	<>	na	Primary Assembly	1704	na
scaffold_10095	unplaced-scaffold	na	na	VCDJ01010052.1	<>	na	Primary Assembly	16556	na
scaffold_10096	unplaced-scaffold	na	na	VCDJ01010053.1	<>	na	Primary Assembly	261	na
scaffold_10097	unplaced-scaffold	na	na	VCDJ01010054.1	<>	na	Primary Assembly	2009	na
scaffold_10098	unplaced-scaffold	na	na	VCDJ01010055.1	<>	na	Primary Assembly	212	na
scaffold_10099	unplaced-scaffold	na	na	VCDJ01010056.1	<>	na	Primary Assembly	1165	na
scaffold_10100	unplaced-scaffold	na	na	VCDJ01010057.1	<>	na	Primary Assembly	1218	na
scaffold_10101	unplaced-scaffold	na	na	VCDJ01010058.1	<>	na	Primary Assembly	1298	na
scaffold_10102	unplaced-scaffold	na	na	VCDJ01010059.1	<>	na	Primary Assembly	1092	na
scaffold_10103	unplaced-scaffold	na	na	VCDJ01010060.1	<>	na	Primary Assembly	2890	na
scaffold_10104	unplaced-scaffold	na	na	VCDJ01010061.1	<>	na	Primary Assembly	285	na
scaffold_10105	unplaced-scaffold	na	na	VCDJ01010062.1	<>	na	Primary Assembly	393	na
scaffold_10106	unplaced-scaffold	na	na	VCDJ01010063.1	<>	na	Primary Assembly	16795	na
scaffold_10107	unplaced-scaffold	na	na	VCDJ01010064.1	<>	na	Primary Assembly	1836	na
scaffold_10108	unplaced-scaffold	na	na	VCDJ01010065.1	<>	na	Primary Assembly	2248	na
scaffold_10109	unplaced-scaffold	na	na	VCDJ01010066.1	<>	na	Primary Assembly	286	na
scaffold_10110	unplaced-scaffold	na	na	VCDJ01010067.1	<>	na	Primary Assembly	257	na
scaffold_10111	unplaced-scaffold	na	na	VCDJ01010068.1	<>	na	Primary Assembly	634	na
scaffold_10112	unplaced-scaffold	na	na	VCDJ01010069.1	<>	na	Primary Assembly	284	na
scaffold_10113	unplaced-scaffold	na	na	VCDJ01010070.1	<>	na	Primary Assembly	683	na
scaffold_10114	unplaced-scaffold	na	na	VCDJ01010071.1	<>	na	Primary Assembly	6285	na
scaffold_10115	unplaced-scaffold	na	na	VCDJ01010072.1	<>	na	Primary Assembly	5295	na
scaffold_10116	unplaced-scaffold	na	na	VCDJ01010073.1	<>	na	Primary Assembly	1349	na
scaffold_10117	unplaced-scaffold	na	na	VCDJ01010074.1	<>	na	Primary Assembly	8400	na
scaffold_10118	unplaced-scaffold	na	na	VCDJ01010075.1	<>	na	Primary Assembly	1898	na
scaffold_10119	unplaced-scaffold	na	na	VCDJ01010076.1	<>	na	Primary Assembly	6215	na
scaffold_10120	unplaced-scaffold	na	na	VCDJ01010077.1	<>	na	Primary Assembly	5433	na
scaffold_10121	unplaced-scaffold	na	na	VCDJ01010078.1	<>	na	Primary Assembly	4160	na
scaffold_10122	unplaced-scaffold	na	na	VCDJ01010079.1	<>	na	Primary Assembly	6484	na
scaffold_10123	unplaced-scaffold	na	na	VCDJ01010080.1	<>	na	Primary Assembly	6826	na
scaffold_10124	unplaced-scaffold	na	na	VCDJ01010081.1	<>	na	Primary Assembly	10459	na
scaffold_10125	unplaced-scaffold	na	na	VCDJ01010082.1	<>	na	Primary Assembly	11178	na
scaffold_10126	unplaced-scaffold	na	na	VCDJ01010083.1	<>	na	Primary Assembly	2847	na
scaffold_10127	unplaced-scaffold	na	na	VCDJ01010084.1	<>	na	Primary Assembly	1242	na
scaffold_10128	unplaced-scaffold	na	na	VCDJ01010085.1	<>	na	Primary Assembly	1166	na
scaffold_10129	unplaced-scaffold	na	na	VCDJ01010086.1	<>	na	Primary Assembly	14606	na
scaffold_10130	unplaced-scaffold	na	na	VCDJ01010087.1	<>	na	Primary Assembly	648	na
scaffold_10131	unplaced-scaffold	na	na	VCDJ01010088.1	<>	na	Primary Assembly	2069	na
scaffold_10132	unplaced-scaffold	na	na	VCDJ01010089.1	<>	na	Primary Assembly	2139	na
scaffold_10133	unplaced-scaffold	na	na	VCDJ01010090.1	<>	na	Primary Assembly	1832	na
scaffold_10134	unplaced-scaffold	na	na	VCDJ01010091.1	<>	na	Primary Assembly	5595	na
scaffold_10135	unplaced-scaffold	na	na	VCDJ01010092.1	<>	na	Primary Assembly	1182	na
scaffold_10136	unplaced-scaffold	na	na	VCDJ01010093.1	<>	na	Primary Assembly	273	na
scaffold_10137	unplaced-scaffold	na	na	VCDJ01010094.1	<>	na	Primary Assembly	528	na
scaffold_10138	unplaced-scaffold	na	na	VCDJ01010095.1	<>	na	Primary Assembly	5230	na
scaffold_10139	unplaced-scaffold	na	na	VCDJ01010096.1	<>	na	Primary Assembly	1921	na
scaffold_10140	unplaced-scaffold	na	na	VCDJ01010097.1	<>	na	Primary Assembly	3113	na
scaffold_10141	unplaced-scaffold	na	na	VCDJ01010098.1	<>	na	Primary Assembly	6508	na
scaffold_10142	unplaced-scaffold	na	na	VCDJ01010099.1	<>	na	Primary Assembly	12402	na
scaffold_10143	unplaced-scaffold	na	na	VCDJ01010100.1	<>	na	Primary Assembly	1181	na
scaffold_10144	unplaced-scaffold	na	na	VCDJ01010101.1	<>	na	Primary Assembly	3174	na
scaffold_10145	unplaced-scaffold	na	na	VCDJ01010102.1	<>	na	Primary Assembly	202	na
scaffold_10146	unplaced-scaffold	na	na	VCDJ01010103.1	<>	na	Primary Assembly	649	na
scaffold_10147	unplaced-scaffold	na	na	VCDJ01010104.1	<>	na	Primary Assembly	350	na
scaffold_10148	unplaced-scaffold	na	na	VCDJ01010105.1	<>	na	Primary Assembly	1176	na
scaffold_10149	unplaced-scaffold	na	na	VCDJ01010106.1	<>	na	Primary Assembly	587	na
scaffold_10150	unplaced-scaffold	na	na	VCDJ01010107.1	<>	na	Primary Assembly	5271	na
scaffold_10151	unplaced-scaffold	na	na	VCDJ01010108.1	<>	na	Primary Assembly	1112	na
